iter	Passed	Remaining
203	417	1629
204	418	1623
205	419	1618
206	420	1612
207	422	1607
208	423	1602
209	424	1596
210	425	1591
211	426	1585
212	427	1579
213	428	1574
214	430	1571
215	431	1566
216	432	1561
217	433	1556
218	435	1551
219	436	1546
220	437	1541
221	438	1535
222	439	1530
223	440	1526
224	441	1522
225	443	1518
226	445	1515
227	446	1510
228	447	1505
229	448	1500
230	449	1495
231	450	1490
232	451	1486
233	452	1482
234	453	1477
235	455	1473
236	456	1469
237	457	1464
238	458	1459
239	459	1456
240	461	1451
241	462	1448
242	463	1443
243	464	1439
244	466	1436
245	467	1432
246	468	1428
247	469	1423
248	470	1418
249	471	1414
250	472	1410
251	473	1406
252	475	1404
253	476	1400
254	477	1396
255	478	1391
256	479	1387
257	480	1382
258	481	1378
259	482	1374
260	484	1371
261	485	1367
262	486	1364
263	487	1360
264	488	1356
265	490	1352
266	491	1348
267	492	1346
268	494	1342
269	494	1338
270	495	1334
271	496	1329
272	497	1325
273	498	1321
274	499	1317
275	501	1314
276	502	1310
277	503	1307
278	504	1303
279	505	1299
280	506	1296
281	508	1293
282	509	1290
283	510	1287
284	511	1283
285	512	1280
286	514	1277
287	515	1274
288	516	1271
289	517	1267
290	519	1264
291	520	1262
292	522	1260
293	523	1256
294	524	1252
295	525	1249
296	526	1245
297	527	1242
298	528	1238
299	529	1236
300	531	1234
301	533	1232
302	534	1229
303	536	1228
304	537	1225
305	539	1222
306	540	1221
307	543	1220
308	544	1217
309	545	1214
310	547	1212
311	548	1208
312	549	1205
313	550	1203
314	551	1200
315	553	1197
316	554	1194
317	555	1191
318	556	1187
319	558	1186
320	559	1183
321	560	1180
322	561	1177
323	562	1174
324	564	1171
325	565	1168
326	566	1165
327	567	1162
328	568	1159
329	569	1156
330	570	1153
331	572	1151
332	573	1149
333	575	1146
334	576	1144
335	577	1142
336	579	1139
337	580	1136
338	582	1134
339	583	1132
340	585	1131
341	587	1129
342	588	1126
343	589	1124
344	590	1121
345	591	1118
346	594	1118
347	595	1116
348	597	1114
349	598	1111
350	599	1108
351	601	1106
352	602	1104
353	603	1101
354	605	1099
355	606	1097
356	607	1094
357	608	1091
358	609	1089
359	611	1086
360	612	1084
361	613	1082
362	615	1080
363	616	1077
364	618	1076
365	620	1074
366	621	1072
367	623	1070
368	624	1067
369	625	1064
370	627	1064
371	628	1061
372	630	1060
373	632	1058
374	634	1057
375	636	1055
376	638	1054
377	639	1052
378	641	1050
379	643	1049
380	644	1047
381	645	1044
382	647	1043
383	648	1040
384	650	1039
385	651	1036
386	653	1034
387	654	1032
388	655	1030
389	657	1028
390	659	1026
391	660	1023
392	661	1021
393	663	1020
394	664	1017
395	666	1015
396	668	1015
397	669	1013
398	670	1010
399	672	1008
400	673	1006
401	674	1003
402	676	1001
403	677	999
404	678	997
405	680	994
406	681	992
407	682	990
408	683	987
409	684	985
410	685	982
411	687	981
412	689	979
413	690	977
414	691	974
415	692	972
416	694	970
417	695	968
418	697	966
419	698	964
420	699	962
421	701	960
422	702	958
423	703	956
424	704	953
425	706	951
426	706	948
427	707	946
428	709	943
429	710	941
430	711	939
431	712	936
432	713	934
433	714	932
434	716	930
435	717	927
436	718	925
437	719	923
438	720	920
439	721	918
440	723	916
441	724	914
442	725	911
443	726	909
444	728	908
445	729	906
446	730	904
447	732	902
448	734	901
449	735	898
450	736	896
451	737	894
452	738	891
453	739	889
454	741	887
455	742	885
456	744	884
457	745	882
458	747	880
459	748	878
460	750	876
461	751	874
462	752	872
463	753	870
